    PID    PPID COMMAND         %CPU %MEM   RSS
  14050    1734 sshd-session     7.6  0.0  9860
   1890       1 corosync         1.6  0.0 181892
  13714       1 systemd          1.1  0.0 11232
   1923       1 pvestatd         0.4  0.0 115528
   1921       1 pve-firewall     0.2  0.0 109480
   1385       1 tailscaled       0.2  0.0 76888
   1723       1 pmxcfs           0.1  0.0 42120
      1       0 systemd          0.0  0.0 11696
    731       2 txg_sync         0.0  0.0     0
    411       2 kworker/0:5-eve  0.0  0.0     0
    865       1 systemd-journal  0.0  0.0 23384
  13166       2 z_wr_iss         0.0  0.0     0
     15       2 rcu_preempt      0.0  0.0     0
  13013       2 z_wr_iss         0.0  0.0     0
  11242       2 kworker/u128:0-  0.0  0.0     0
   1164       2 kipmi0           0.0  0.0     0
   1377       1 rrdcached        0.0  0.0  4700
   1367       1 dbus-daemon      0.0  0.0  3536
  13164       2 z_wr_iss         0.0  0.0     0
  12056       2 z_wr_iss         0.0  0.0     0
   1989       1 pve-ha-lrm       0.0  0.0 123084
  12711       2 z_wr_iss         0.0  0.0     0
  11904       2 z_wr_iss         0.0  0.0     0
  12652       2 z_wr_iss         0.0  0.0     0
    229       2 irq/9-acpi       0.0  0.0     0
   1382       1 systemd-logind   0.0  0.0  7304
    650       2 dp_sync_taskq    0.0  0.0     0
    647       2 dp_sync_taskq    0.0  0.0     0
    648       2 dp_sync_taskq    0.0  0.0     0
    649       2 dp_sync_taskq    0.0  0.0     0
  11216       2 z_wr_iss         0.0  0.0     0
   1997       1 pvescheduler     0.0  0.0 125492
   1242       1 pvefw-logger     0.0  0.0  1608
    251       2 kworker/8:1-mm_  0.0  0.0     0
  12846       2 z_wr_iss         0.0  0.0     0
  12847       2 z_wr_iss         0.0  0.0     0
  11330       2 z_wr_iss         0.0  0.0     0
   1892       1 proxmox-firewal  0.0  0.0  4232
    905       1 systemd-udevd    0.0  0.0  6900
---
    PID    PPID COMMAND         %CPU %MEM   RSS
   1890       1 corosync         1.6  0.0 181892
   1972    1971 pveproxy worker  0.0  0.0 155888
   1973    1971 pveproxy worker  0.0  0.0 155888
   1974    1971 pveproxy worker  0.0  0.0 155888
   1971       1 pveproxy         0.0  0.0 153052
   1952    1949 pvedaemon worke  0.0  0.0 152688
   1951    1949 pvedaemon worke  0.0  0.0 152684
   1950    1949 pvedaemon worke  0.0  0.0 152672
   1949       1 pvedaemon        0.0  0.0 151984
   1997       1 pvescheduler     0.0  0.0 125492
   1958       1 pve-ha-crm       0.0  0.0 124144
   1989       1 pve-ha-lrm       0.0  0.0 123084
   1923       1 pvestatd         0.4  0.0 115528
   1921       1 pve-firewall     0.2  0.0 109480
   1385       1 tailscaled       0.2  0.0 76888
   1987    1986 spiceproxy work  0.0  0.0 55464
   1986       1 spiceproxy       0.0  0.0 54836
   1723       1 pmxcfs           0.1  0.0 42120
    865       1 systemd-journal  0.0  0.0 23384
      1       0 systemd          0.0  0.0 11696
  13714       1 systemd          1.1  0.0 11232
  14050    1734 sshd-session     6.6  0.0  9860
   1382       1 systemd-logind   0.0  0.0  7304
    905       1 systemd-udevd    0.0  0.0  6900
  14057   14050 sshd-session     0.0  0.0  6252
   1734       1 sshd             0.0  0.0  5228
   1394       1 zed              0.0  0.0  4864
   1884    1882 qmgr             0.0  0.0  4836
   1883    1882 pickup           0.0  0.0  4768
   1377       1 rrdcached        0.0  0.0  4700
   1378       1 smartd           0.0  0.0  4396
   1892       1 proxmox-firewal  0.0  0.0  4232
  14061   14058 ps               0.0  0.0  3764
   1367       1 dbus-daemon      0.0  0.0  3536
  13717   13714 (sd-pam)         0.0  0.0  3532
  14058   14057 bash             0.0  0.0  2984
   1882       1 master           0.0  0.0  2964
   1558       1 chronyd          0.0  0.0  2716
   1726       1 agetty           0.0  0.0  2564
