 b11 | 07/08/2024 | 03:07:37 AM EEST | Session Audit #0xff |  | Asserted
 b12 | 07/08/2024 | 03:09:48 AM EEST | Session Audit #0xff |  | Asserted
 b13 | 07/08/2024 | 03:16:18 AM EEST | Session Audit #0xff |  | Asserted
 b14 | 07/08/2024 | 03:18:17 AM EEST | Session Audit #0xff |  | Asserted
 b15 | 07/08/2024 | 03:29:41 AM EEST | Session Audit #0xff |  | Asserted
 b16 | 07/08/2024 | 03:30:15 AM EEST | Session Audit #0xff |  | Asserted
 b17 | 07/08/2024 | 03:34:02 AM EEST | Session Audit #0xff |  | Asserted
 b18 | 07/08/2024 | 03:36:12 AM EEST | Session Audit #0xff |  | Asserted
 b19 | 07/08/2024 | 03:38:23 AM EEST | Session Audit #0xff |  | Asserted
 b1a | 07/08/2024 | 03:40:34 AM EEST | Session Audit #0xff |  | Asserted
 b1b | 07/08/2024 | 03:42:19 AM EEST | Session Audit #0xff |  | Asserted
 b1c | 07/08/2024 | 03:42:45 AM EEST | Session Audit #0xff |  | Asserted
 b1d | 07/08/2024 | 03:47:06 AM EEST | Session Audit #0xff |  | Asserted
 b1e | 07/08/2024 | 03:49:16 AM EEST | Session Audit #0xff |  | Asserted
 b1f | 07/08/2024 | 03:53:42 AM EEST | Session Audit #0xff |  | Asserted
 b20 | 07/08/2024 | 03:54:00 AM EEST | Session Audit #0xff |  | Asserted
 b21 | 07/08/2024 | 03:58:00 AM EEST | Session Audit #0xff |  | Asserted
 b22 | 07/08/2024 | 04:00:14 AM EEST | Session Audit #0xff |  | Asserted
 b23 | 07/08/2024 | 04:02:29 AM EEST | Session Audit #0xff |  | Asserted
 b24 | 07/08/2024 | 04:04:45 AM EEST | Session Audit #0xff |  | Asserted
 b25 | 07/08/2024 | 04:05:56 AM EEST | Session Audit #0xff |  | Asserted
 b26 | 07/08/2024 | 04:06:58 AM EEST | Session Audit #0xff |  | Asserted
 b27 | 07/08/2024 | 04:09:10 AM EEST | Session Audit #0xff |  | Asserted
 b28 | 07/08/2024 | 04:11:21 AM EEST | Session Audit #0xff |  | Asserted
 b29 | 07/08/2024 | 04:13:33 AM EEST | Session Audit #0xff |  | Asserted
 b2a | 07/08/2024 | 04:15:49 AM EEST | Session Audit #0xff |  | Asserted
 b2b | 07/08/2024 | 04:18:00 AM EEST | Session Audit #0xff |  | Asserted
 b2c | 07/08/2024 | 04:18:03 AM EEST | Session Audit #0xff |  | Asserted
 b2d | 07/08/2024 | 04:20:12 AM EEST | Session Audit #0xff |  | Asserted
 b2e | 07/08/2024 | 04:24:36 AM EEST | Session Audit #0xff |  | Asserted
 b2f | 07/08/2024 | 04:26:45 AM EEST | Session Audit #0xff |  | Asserted
 b30 | 07/08/2024 | 04:28:56 AM EEST | Session Audit #0xff |  | Asserted
 b31 | 07/08/2024 | 04:30:01 AM EEST | Session Audit #0xff |  | Asserted
 b32 | 07/08/2024 | 04:33:17 AM EEST | Session Audit #0xff |  | Asserted
 b33 | 07/08/2024 | 04:35:27 AM EEST | Session Audit #0xff |  | Asserted
 b34 | 07/08/2024 | 04:37:37 AM EEST | Session Audit #0xff |  | Asserted
 b35 | 07/08/2024 | 04:39:46 AM EEST | Session Audit #0xff |  | Asserted
 b36 | 07/08/2024 | 04:41:56 AM EEST | Session Audit #0xff |  | Asserted
 b37 | 07/08/2024 | 04:42:05 AM EEST | Session Audit #0xff |  | Asserted
 b38 | 07/08/2024 | 04:44:07 AM EEST | Session Audit #0xff |  | Asserted
 b39 | 07/08/2024 | 04:46:16 AM EEST | Session Audit #0xff |  | Asserted
 b3a | 07/08/2024 | 04:48:27 AM EEST | Session Audit #0xff |  | Asserted
 b3b | 07/08/2024 | 04:52:52 AM EEST | Session Audit #0xff |  | Asserted
 b3c | 07/08/2024 | 04:54:12 AM EEST | Session Audit #0xff |  | Asserted
 b3d | 07/08/2024 | 04:55:02 AM EEST | Session Audit #0xff |  | Asserted
 b3e | 07/08/2024 | 04:57:11 AM EEST | Session Audit #0xff |  | Asserted
 b3f | 07/08/2024 | 04:59:23 AM EEST | Session Audit #0xff |  | Asserted
 b40 | 07/08/2024 | 05:01:38 AM EEST | Session Audit #0xff |  | Asserted
 b41 | 07/08/2024 | 05:06:01 AM EEST | Session Audit #0xff |  | Asserted
 b42 | 07/08/2024 | 05:06:10 AM EEST | Session Audit #0xff |  | Asserted
 b43 | 07/08/2024 | 05:08:10 AM EEST | Session Audit #0xff |  | Asserted
